Date range,Clicks,Impressions,CTR,Position
2025-01-18 - 2025-01-18,7,2652,0.26%,56.1
2025-01-19 - 2025-01-25,212,18777,1.13%,47.7
2025-01-26 - 2025-02-01,227,21084,1.08%,44.6
2025-02-02 - 2025-02-08,266,21676,1.23%,42.5
2025-02-09 - 2025-02-15,262,20162,1.3%,42.2
2025-02-16 - 2025-02-22,303,21252,1.43%,41.5
2025-02-23 - 2025-03-01,246,23233,1.06%,41.7
2025-03-02 - 2025-03-08,255,25024,1.02%,43.4
2025-03-09 - 2025-03-15,267,24904,1.07%,40.7
2025-03-16 - 2025-03-22,314,23900,1.31%,37.3
2025-03-23 - 2025-03-29,290,22957,1.26%,33
2025-03-30 - 2025-04-05,271,24744,1.1%,32.1
2025-04-06 - 2025-04-12,322,22294,1.44%,30.1
2025-04-13 - 2025-04-19,288,18905,1.52%,31.6
2025-04-20 - 2025-04-26,357,21606,1.65%,31.8
2025-04-27 - 2025-05-03,272,24913,1.09%,31.3
2025-05-04 - 2025-05-10,329,26160,1.26%,31.1
2025-05-11 - 2025-05-17,303,25069,1.21%,32.7
2025-05-18 - 2025-05-24,348,25386,1.37%,31.7
2025-05-25 - 2025-05-31,406,27095,1.5%,32.7
2025-06-01 - 2025-06-07,353,25399,1.39%,28
2025-06-08 - 2025-06-14,316,26897,1.17%,27.8
2025-06-15 - 2025-06-21,307,32066,0.96%,31.2
2025-06-22 - 2025-06-28,262,32196,0.81%,34
2025-06-29 - 2025-07-05,296,30598,0.97%,32.5
2025-07-06 - 2025-07-12,308,30263,1.02%,31.3
2025-07-13 - 2025-07-19,269,32015,0.84%,30.9
2025-07-20 - 2025-07-26,291,32060,0.91%,30.5
2025-07-27 - 2025-08-02,319,32663,0.98%,25.2
2025-08-03 - 2025-08-09,310,32452,0.96%,25.4
2025-08-10 - 2025-08-16,266,38466,0.69%,22.4
2025-08-17 - 2025-08-23,297,40245,0.74%,24
2025-08-24 - 2025-08-30,300,43510,0.69%,22.9
2025-08-31 - 2025-09-06,356,47702,0.75%,21.3
2025-09-07 - 2025-09-13,420,41192,1.02%,19.1
2025-09-14 - 2025-09-20,379,32815,1.15%,11.6
2025-09-21 - 2025-09-27,379,35743,1.06%,11.1
2025-09-28 - 2025-10-04,340,37882,0.9%,9.9
2025-10-05 - 2025-10-11,393,34795,1.13%,9.5
2025-10-12 - 2025-10-18,366,32779,1.12%,10.3
2025-10-19 - 2025-10-25,386,34167,1.13%,10.6
2025-10-26 - 2025-11-01,423,36112,1.17%,9.5
2025-11-02 - 2025-11-08,396,39443,1%,9
2025-11-09 - 2025-11-15,410,40000,1.03%,8.8
2025-11-16 - 2025-11-22,429,40880,1.05%,9.7
2025-11-23 - 2025-11-29,432,46770,0.92%,10
2025-11-30 - 2025-12-06,405,44880,0.9%,12.3
2025-12-07 - 2025-12-13,443,43672,1.01%,11.8
2025-12-14 - 2025-12-20,396,41270,0.96%,11.3
2025-12-21 - 2025-12-27,145,34819,0.42%,12.3
2025-12-28 - 2026-01-03,252,42311,0.6%,11.3
2026-01-04 - 2026-01-10,479,72248,0.66%,9.3
2026-01-11 - 2026-01-17,508,73639,0.69%,9.3